No.,Player,Team,Wickets,Mat,Inns,Avg,SR,ER,5W+,3W+,Maiden,Runs,HS,100,50,4s,6s,Role
8,Priyansh Arya,DEL,,9,9,40.63,176.63,,,,,325,102,1,1,25,23,Wicketkeeper-Batsman
9,Harvik Desai,SAUR,,8,8,40.38,152.36,,,,,323,76,0,3,40,13,Wicketkeeper-Batsman
10,Urvil Patel,GUJ,,6,6,78.75,229.93,,,,,315,115,2,0,22,29,Wicketkeeper-Batsman
11,KS Bharat,ANDR,,7,7,76.75,149.76,,,,,307,93,0,4,29,12,Wicketkeeper-Batsman
12,Harpreet Singh Bhatia,MP,,10,9,49.5,134.39,,,,,297,60,0,2,25,10,Batsman
13,Mohit Jangra,MIZ,,7,7,74,151.02,,,,,296,80,0,3,25,17,Bowler
14,Ricky Bhui,ANDR,,7,6,57.8,188.89,,,,,289,84,0,3,26,20,Batsman
15,Aarya Desai,GUJ,,7,7,47.83,146.43,,,,,287,78,0,2,34,9,Batsman
16,Narayan Jagadeesan,TN,,7,7,40,163.74,,,,,280,88,0,4,25,12,Wicketkeeper-Batsman
17,Rinku Singh,UP,,9,8,69.25,152.2,,,,,277,70,0,1,24,14,Batsman
18,Mohit Ahlawat,SER,,6,6,45.5,167.48,,,,,273,74,0,2,18,16,Batsman
19,Bhanu Pania,BRD,,9,7,54.6,214.96,,,,,273,134,1,0,15,25,All-Rounder
20,Suyash Prabhudessai,GOA,,6,6,67.5,150,,,,,270,71,0,4,33,5,All-Rounder
21,Swastik Samal,ODSA,,5,5,51.4,188.97,,,,,257,105,1,2,24,16,Batsman
22,Karun Nair,VID,,6,6,42.5,177.08,,,,,255,77,0,3,26,14,Batsman
23,Abhishek Sharma,PUN,,7,7,42.5,216.1,,,,,255,106,1,1,26,18,"All-Rounder (Left-arm orthodox, left-hand bat)"
23,Abhishek Sharma,PUN,,7,7,42.5,216.1,,,,,255,106,1,1,26,18,All-Rounder
24,Subhranshu Senapati,MP,,10,10,28.22,128.93,,,,,254,50,0,1,16,9,Batsman
25,Hardik Pandya,BRD,,7,7,49.2,193.7,,,,,246,74,0,2,17,20,All-Rounder
26,Rohan Kunnummal,KER,,6,6,40.67,169.44,,,,,244,87,0,2,23,14,Batsman
27,Shivam Bhambri,CG,,7,7,40.17,157.52,,,,,241,75,0,3,22,11,Batsman
28,Yash Dhull,DEL,,9,9,34,117.24,,,,,238,59,0,1,28,9,Batsman
29,Shahbaz Ahmed,BEN,,9,6,79,176.87,,,,,237,100,1,1,13,17,All-Rounder
30,Shivalik Sharma,BRD,,9,9,29.38,155.63,,,,,235,64,0,2,19,14,Bowler
31,Yuvraj Chaudhary,UTK,,5,5,58.5,168.35,,,,,234,123,1,1,25,15,Bowler
32,Venkatesh Iyer,MP,,10,9,56.75,163.31,,,,,227,38,0,0,18,11,All-Rounder
33,Prerak Mankad,SAUR,,8,8,27.75,156.34,,,,,222,54,0,1,26,9,All-Rounder
34,Aryan Juyal,UP,,9,9,24.44,141.94,,,,,220,75,0,2,27,9,Wicketkeeper-Batsman
35,Shashwat Rawat,BRD,,5,5,43.4,165.65,,,,,217,63,0,1,19,11,Batsman
36,Krishnan Shrijith,KAR,,7,7,42.6,176.03,,,,,213,72,0,1,16,16,Wicketkeeper-Batsman
37,Prabhsimran Singh,PUN,,6,6,34.5,165.6,,,,,207,62,0,1,24,9,Wicketkeeper-Batsman
38,Baba Indrajith,TN,,7,7,29.43,188.99,,,,,206,78,0,1,21,10,Batsman
39,Agni Chopra,MIZ,,7,7,34.17,125,,,,,205,56,0,2,27,2,Batsman
40,Vishvaraj Jadeja,SAUR,,8,8,40.8,154.55,,,,,204,60,0,2,18,9,Batsman
41,Kartik Sharma,RAJ,,7,6,33.5,164.75,,,,,201,58,0,2,9,17,Bowler
42,Nishant Sindhu,HAR,,7,6,40,145.99,,,,,200,100,1,1,18,7,All-Rounder
43,Ajay Rohera,PDC,,6,6,33.33,162.6,,,,,200,105,1,0,21,11,Batsman
44,Sridam Paul,TRI,,7,7,33.17,151.91,,,,,199,68,0,2,18,12,Bowler
45,Priyam Garg,UP,,5,5,39.6,144.53,,,,,198,81,0,2,21,9,Batsman
46,Kangabam Priyojit Singh,MNP,,7,7,33,93.84,,,,,198,65,0,1,19,3,Bowler
47,Himmat Singh,DEL,,8,8,49.25,148.12,,,,,197,77,0,2,13,11,Batsman
48,Prithvi Shaw,MUM,,9,9,21.89,156.35,,,,,197,49,0,0,21,13,Batsman
49,Arshin Kulkarni,MAH,,6,6,32.33,137.59,,,,,194,62,0,1,21,6,All-Rounder
50,Anuj Rawat,DEL,,8,8,48,141.18,,,,,192,73,0,1,18,8,Wicketkeeper-Batsman
51,Arun Karthik,PDC,,6,6,38.2,160.5,,,,,191,52,0,1,15,12,Wicketkeeper-Batsman
52,Bharat Sharma,RAJ,,7,7,31.67,149.61,,,,,190,74,0,1,20,10,Bowler
53,Atharva Taide,VID,,6,6,37.8,142.11,,,,,189,66,0,1,27,3,Batsman
54,Abhijeet Tomar,RAJ,,7,7,31.33,151.61,,,,,188,66,0,2,14,13,Batsman
55,Himanshu Rana,HAR,,7,7,26.57,128.28,,,,,186,91,0,1,19,6,Batsman
56,Arpit Gaud,MP,,9,9,20.56,125.85,,,,,185,66,0,1,16,8,Batsman
57,Ravikumar Samarth,UTK,,7,6,30.67,131.43,,,,,184,54,0,1,11,10,Batsman
58,Utkarsh Singh,JHKD,,7,7,30.67,146.03,,,,,184,54,0,1,26,4,All-Rounder
59,Bikramkumar Das,TRI,,4,4,61,148.78,,,,,183,79,0,2,19,4,Bowler
60,Virat Singh,JHKD,,7,6,36.6,139.69,,,,,183,64,0,1,23,4,Batsman
61,Aditya Tare,UTK,,7,7,36,150,,,,,180,54,0,1,13,10,Wicketkeeper-Batsman
62,Ayush Badoni,DEL,,9,8,22.5,132.35,,,,,180,70,0,1,19,6,All-Rounder
63,Akash Kargave,PDC,,6,6,35.8,149.17,,,,,179,58,0,2,15,10,Batsman
64,Mayank Agarwal,KAR,,7,7,25.57,152.99,,,,,179,51,0,1,16,9,Batsman
65,Sudip Kumar Gharami,BEN,,9,8,35.8,118.54,,,,,179,50,0,1,12,5,Batsman
66,Anmolpreet Singh,PUN,,6,6,35.6,163.3,,,,,178,60,0,1,22,3,Batsman
67,Deepak Hooda,RAJ,,7,6,29.67,143.55,,,,,178,65,0,1,11,12,All-Rounder
68,Kolagani Rohit Rayudu,HYD,,4,4,86.5,169.61,,,,,173,56,0,3,15,8,Wicketkeeper-Batsman
69,Upendra Yadav,RLYS,,5,5,86,149.57,,,,,172,68,0,2,11,10,Wicketkeeper-Batsman
70,Arpit Bhatewara,MGLY,,7,7,24.57,104.88,,,,,172,65,0,1,15,4,Bowler
